date,value
2014-01-01,18.31
2014-01-02,18.06
2014-01-03,18.31
2014-01-07,16.58
2014-01-08,16.33
2014-01-09,16.83
2014-01-10,16.83
2014-01-13,16.08
2014-01-15,15.75
2014-01-16,15.50
2014-01-17,14.34
2014-01-20,13.00
2014-01-21,12.75
2014-01-22,12.75
2014-01-23,15.00
2014-01-24,12.75
2014-01-27,12.50
2014-01-28,12.38
2014-01-30,12.38
2014-01-31,12.25
2014-02-03,12.00
2014-02-04,11.75
2014-02-05,11.75
2014-02-06,11.98
2014-02-07,11.98
2014-02-10,11.98
2014-02-11,11.48
2014-02-12,10.86
2014-02-13,10.98
2014-02-14,10.98
2014-02-17,11.11
2014-02-18,15.20
2014-02-20,10.73
2014-02-21,10.73
2014-02-24,11.10
2014-02-25,11.10
2014-02-26,11.35
2014-02-28,11.35
2014-03-03,11.00
2014-03-04,11.00
2014-03-05,10.88
2014-03-06,10.41
2014-03-07,10.41
2014-03-11,10.69
2014-03-12,11.06
2014-03-13,10.81
2014-03-14,10.81
2014-03-18,11.44
2014-03-19,11.19
2014-03-20,11.06
2014-03-21,10.94
2014-03-24,11.06
2014-03-25,10.94
2014-03-26,11.27
2014-03-27,10.89
2014-03-28,11.02
2014-04-01,10.00
2014-04-02,11.36
2014-04-03,11.36
2014-04-04,11.03
2014-04-07,11.03
2014-04-09,12.07
2014-04-11,9.63
2014-04-15,9.56
2014-04-17,9.97
2014-04-21,9.89
2014-04-22,9.89
2014-04-23,10.10
2014-04-25,9.50
2014-04-28,10.50
2014-04-29,10.43
2014-04-30,10.30
2014-05-02,10.25
2014-05-05,10.00
2014-05-06,10.75
2014-05-07,10.25
2014-05-09,10.35
2014-05-12,10.00
2014-05-13,10.10
2014-05-15,10.35
2014-05-16,10.35
2014-05-19,11.35
2014-05-20,11.35
2014-05-21,11.60
2014-05-22,11.10
2014-05-23,11.10
2014-05-26,11.10
2014-05-27,11.35
2014-05-28,11.10
2014-05-29,11.09
2014-05-30,11.09
2014-06-02,11.23
2014-06-03,12.23
2014-06-04,12.50
2014-06-05,11.50
2014-06-06,12.25
2014-06-09,12.50
2014-06-10,12.50
2014-06-11,13.25
2014-06-12,14.25
2014-06-13,14.00
2014-06-16,14.10
2014-06-17,14.69
2014-06-18,14.69
2014-06-19,14.69
2014-06-20,14.89
2014-06-23,15.14
2014-06-24,14.81
2014-06-25,15.31
2014-06-26,15.51
2014-06-27,16.01
2014-07-01,17.34
2014-07-02,17.09
2014-07-03,16.92
2014-07-04,16.92
2014-07-07,16.17
2014-07-08,17.17
2014-07-09,18.25
2014-07-10,18.25
2014-07-11,17.25
2014-07-14,17.43
2014-07-15,17.68
2014-07-16,17.68
2014-07-17,17.93
2014-07-18,18.18
2014-07-21,18.06
2014-07-22,17.68
2014-07-23,17.75
2014-07-24,17.64
2014-07-25,17.40
2014-07-28,17.15
2014-07-30,17.48
2014-07-31,17.73
2014-08-01,17.23
2014-08-04,15.98
2014-08-05,15.98
2014-08-06,16.98
2014-08-07,17.24
2014-08-08,17.24
2014-08-11,15.98
2014-08-12,13.98
2014-08-13,15.73
2014-08-14,16.74
2014-08-19,16.99
2014-08-20,16.61
2014-08-21,16.36
2014-08-22,16.11
2014-08-25,16.36
2014-08-26,19.00
2014-08-27,16.61
2014-08-28,16.61
2014-09-01,19.50
2014-09-02,16.45
2014-09-03,15.70
2014-09-04,14.95
2014-09-05,15.20
2014-09-09,17.00
2014-09-10,15.45
2014-09-11,15.38
2014-09-12,15.38
2014-09-15,15.13
2014-09-16,14.88
2014-09-17,15.80
2014-09-18,15.80
2014-09-19,14.55
2014-09-22,14.55
2014-09-23,13.80
2014-09-24,13.80
2014-09-25,13.30
2014-09-26,13.30
2014-09-29,13.30
2014-09-30,12.55
2014-10-07,13.05
2014-10-08,13.80
2014-10-09,13.30
2014-10-10,13.80
2014-10-13,13.55
2014-10-14,13.55
2014-10-16,14.55
2014-10-17,14.55
2014-10-20,14.80
2014-10-21,15.30
2014-10-22,15.30
2014-10-27,15.30
2014-10-28,15.55
2014-10-29,15.80
2014-10-31,16.30
2014-11-03,16.55
2014-11-05,15.80
2014-11-07,15.80
2014-11-10,16.08
2014-11-11,15.57
2014-11-12,15.57
2014-11-13,15.32
2014-11-14,15.32
2014-11-17,15.32
2014-11-18,17.33
2014-11-19,16.83
2014-11-20,15.82
2014-11-21,15.57
2014-11-24,15.57
2014-11-25,16.33
2014-11-26,16.83
2014-11-27,17.33
2014-11-28,17.08
2014-12-01,17.08
2014-12-02,16.33
2014-12-03,16.83
2014-12-04,16.58
2014-12-05,16.58
2014-12-08,16.58
2014-12-09,15.82
2014-12-10,16.58
2014-12-11,16.33
2014-12-12,16.33
2014-12-15,15.84
2014-12-16,15.34
2014-12-17,15.84
2014-12-18,15.84
2014-12-19,21.00
2014-12-22,17.33
2014-12-23,17.08
2014-12-24,16.33
2014-12-26,16.58
2014-12-29,16.50
2014-12-30,14.84
2014-12-31,14.59
2015-01-01,14.34
2015-01-02,15.34
2015-01-05,15.34
2015-01-06,14.59
2015-01-07,14.59
2015-01-08,14.59
2015-01-09,14.34
2015-01-12,15.00
2015-01-13,14.34
2015-01-14,14.84
2015-01-15,14.84
2015-01-16,13.84
2015-01-19,14.09
2015-01-20,13.48
2015-01-21,13.48
2015-01-22,13.73
2015-01-23,14.19
2015-01-27,14.09
2015-01-28,13.50
2015-01-30,13.97
2015-02-02,14.22
2015-02-03,13.97
2015-02-04,14.50
2015-02-05,15.00
2015-02-06,14.47
2015-02-09,14.72
2015-02-10,14.47
2015-02-11,14.73
2015-02-12,14.73
2015-02-13,14.73
2015-02-16,14.73
2015-02-18,15.48
2015-02-20,14.73
2015-02-23,15.48
2015-02-24,14.48
2015-02-25,14.48
2015-02-26,14.98
2015-02-27,14.98
2015-03-02,14.98
2015-03-03,14.48
2015-03-04,14.48
2015-03-05,14.48
2015-03-09,15.48
2015-03-10,15.48
2015-03-11,15.48
2015-03-12,15.48
2015-03-13,15.48
2015-03-16,15.48
2015-03-17,14.98
2015-03-18,14.84
2015-03-19,14.34
2015-03-20,14.34
2015-03-23,14.34
2015-03-24,14.34
2015-03-25,13.59
2015-03-26,13.84
2015-03-27,13.74
2015-03-30,13.99
2015-03-31,13.99
2015-04-01,14.49
2015-04-06,14.99
2015-04-07,13.99
2015-04-08,14.99
2015-04-09,14.49
2015-04-10,14.41
2015-04-13,14.41
2015-04-15,14.41
2015-04-16,14.23
2015-04-17,14.23
2015-04-20,14.73
2015-04-21,14.73
2015-04-22,14.23
2015-04-23,14.23
2015-04-24,14.73
2015-04-27,14.73
2015-04-28,14.23
2015-04-29,14.73
2015-04-30,14.84
2015-05-05,14.84
2015-05-06,14.84
2015-05-07,15.59
2015-05-08,15.59
2015-05-11,15.59
2015-05-12,15.84
2015-05-13,15.84
2015-05-14,15.84
2015-05-15,14.34
2015-05-18,15.59
2015-05-19,15.59
2015-05-20,15.34
2015-05-21,14.84
2015-05-22,15.09
2015-05-25,15.09
2015-05-26,15.34
2015-05-27,15.34
2015-05-28,15.02
2015-05-29,15.77
2015-06-01,15.52
2015-06-02,16.26
2015-06-03,16.26
2015-06-04,16.51
2015-06-05,17.02
2015-06-08,17.27
2015-06-09,14.55
2015-06-11,18.77
2015-06-12,18.77
2015-06-15,18.02
2015-06-17,18.27
2015-06-18,18.27
2015-06-22,18.27
2015-06-23,17.02
2015-06-24,17.52
2015-06-25,17.52
2015-06-26,18.27
2015-06-29,18.27
2015-06-30,17.52
2015-07-01,17.52
2015-07-02,17.02
2015-07-03,17.02
2015-07-06,16.52
2015-07-07,16.52
2015-07-08,16.77
2015-07-09,17.27
2015-07-10,17.27
2015-07-13,17.27
2015-07-14,18.02
2015-07-15,18.77
2015-07-16,18.77
2015-07-17,17.52
2015-07-20,18.56
2015-07-21,19.31
2015-07-22,19.06
2015-07-23,19.56
2015-07-24,19.56
2015-07-27,22.06
2015-07-28,23.56
2015-07-29,24.56
2015-07-30,26.56
2015-07-31,27.81
2015-08-03,29.31
2015-08-04,29.81
2015-08-05,31.31
2015-08-06,31.81
2015-08-07,32.06
2015-08-10,32.56
2015-08-11,32.56
2015-08-12,32.31
2015-08-13,31.31
2015-08-14,34.31
2015-08-17,34.56
2015-08-19,35.31
2015-08-20,37.31
2015-08-21,38.31
2015-08-24,39.31
2015-08-25,49.17
2015-08-26,52.01
2015-08-27,52.01
2015-08-28,52.26
2015-08-31,49.76
2015-09-01,48.26
2015-09-02,44.51
2015-09-03,43.26
2015-09-04,43.26
2015-09-07,42.76
2015-09-08,41.51
2015-09-09,43.76
2015-09-10,42.26
2015-09-11,45.26
2015-09-14,45.26
2015-09-15,45.26
2015-09-16,46.26
2015-09-18,45.76
2015-09-21,46.26
2015-09-22,45.76
2015-09-23,45.26
2015-09-24,44.76
2015-09-28,44.26
2015-09-29,42.76
2015-09-30,43.01
2015-10-01,42.01
2015-10-05,42.01
2015-10-06,40.76
2015-10-07,41.51
2015-10-08,41.01
2015-10-09,41.01
2015-10-12,40.76
2015-10-13,39.26
2015-10-14,38.76
2015-10-15,37.26
2015-10-16,36.26
2015-10-19,33.67
2015-10-20,32.17
2015-10-21,31.17
2015-10-23,30.17
2015-10-26,29.17
2015-10-27,29.17
2015-10-28,29.92
2015-10-29,29.92
2015-10-30,29.92
2015-10-31,29.42
2015-11-01,28.42
2015-11-02,28.42
2015-11-03,27.17
2015-11-04,26.67
2015-11-05,26.67
2015-11-06,25.92
2015-11-07,25.42
2015-11-09,25.67
2015-11-10,25.17
2015-11-11,20.35
2015-11-12,19.52
2015-11-13,19.52
2015-11-14,19.52
2015-11-15,19.52
2015-11-16,25.04
2015-11-17,23.54
2015-11-18,24.71
2015-11-19,24.21
2015-11-20,24.38
2015-11-21,23.54
2015-11-22,20.08
2015-11-23,22.29
2015-11-24,22.04
2015-11-25,19.08
2015-11-26,21.79
2015-11-27,22.04
2015-11-28,20.08
2015-11-29,20.08
2015-11-30,21.54
2015-12-01,20.08
2015-12-02,19.79
2015-12-03,19.54
2015-12-04,18.54
2015-12-05,18.29
2015-12-06,18.58
2015-12-07,17.54
2015-12-08,16.29
2015-12-09,16.79
2015-12-10,15.91
2015-12-11,15.66
2015-12-13,17.58
2015-12-14,15.16
2015-12-15,15.16
2015-12-16,14.79
2015-12-17,15.16
2015-12-18,14.79
2015-12-19,15.66
2015-12-20,18.08
2015-12-21,15.29
2015-12-22,15.66
2015-12-23,16.04
2015-12-24,18.08
2015-12-25,18.58
2015-12-26,18.58
2015-12-27,18.58
2015-12-28,15.91
2015-12-29,16.29
2015-12-30,16.79
2015-12-31,16.29
2016-01-01,16.29
2016-01-02,16.29
2016-01-03,18.58
2016-01-04,16.09
2016-01-05,14.84
2016-01-06,15.34
2016-01-07,15.34
2016-01-08,14.91
2016-01-09,17.32
2016-01-10,17.82
2016-01-11,14.94
2016-01-12,13.66
2016-01-13,13.28
2016-01-14,13.03
2016-01-15,13.41
2016-01-16,13.41
2016-01-17,16.98
2016-01-18,12.49
2016-01-19,11.41
2016-01-20,11.66
2016-01-21,12.01
2016-01-22,12.91
2016-01-23,13.57
2016-01-24,13.41
2016-01-25,12.87
2016-01-27,12.38
2016-01-28,12.52
2016-01-29,12.77
2016-01-30,12.77
2016-01-31,13.78
2016-02-01,13.46
2016-02-02,13.34
2016-02-03,12.97
2016-02-04,12.97
2016-02-05,12.64
2016-02-06,12.80
2016-02-07,12.68
2016-02-08,12.39
2016-02-09,12.43
2016-02-10,12.06
2016-02-11,11.47
2016-02-12,11.12
2016-02-13,11.07
2016-02-14,11.02
2016-02-15,11.37
2016-02-16,10.83
2016-02-17,11.16
2016-02-18,10.64
2016-02-19,10.85
2016-02-20,10.22
2016-02-21,10.30
2016-02-22,10.43
2016-02-23,10.22
2016-02-24,10.22
2016-02-25,9.74
2016-02-26,9.82
2016-02-27,10.52
2016-02-28,9.57
2016-02-29,9.78
2016-03-01,9.78
2016-03-02,9.53
2016-03-03,9.66
2016-03-04,9.78
2016-03-05,9.74
2016-03-06,10.57
2016-03-07,10.79
2016-03-08,10.53
2016-03-09,9.91
2016-03-10,10.47
2016-03-11,10.22
2016-03-12,10.40
2016-03-13,10.40
2016-03-14,10.10
2016-03-15,9.72
2016-03-16,10.04
2016-03-17,9.85
2016-03-18,9.40
2016-03-19,8.32
2016-03-20,9.67
2016-03-21,8.52
2016-03-22,8.60
2016-03-23,9.13
2016-03-25,8.92
2016-03-26,8.92
2016-03-27,9.13
2016-03-28,9.65
2016-03-29,9.27
2016-03-30,9.48
2016-03-31,9.66
2016-04-01,9.91
2016-04-02,9.89
2016-04-03,10.24
2016-04-04,9.51
2016-04-05,9.46
2016-04-06,8.63
2016-04-07,8.91
2016-04-08,9.83
2016-04-09,9.83
2016-04-10,10.10
2016-04-11,9.24
2016-04-12,9.53
2016-04-13,9.39
2016-04-14,9.57
2016-04-15,10.58
2016-04-16,9.35
2016-04-17,9.61
2016-04-18,8.97
2016-04-19,9.46
2016-04-20,9.08
2016-04-21,8.96
2016-04-22,9.27
2016-04-23,10.16
2016-04-24,10.16
2016-04-25,9.53
2016-04-26,9.53
2016-04-27,9.77
2016-04-28,9.87
2016-04-29,9.85
2016-04-30,9.64
2016-05-01,10.18
2016-05-02,9.76
2016-05-03,9.76
2016-05-04,9.71
2016-05-05,9.09
2016-05-06,9.85
2016-05-07,9.70
2016-05-08,11.59
2016-05-09,10.31
2016-05-10,9.66
2016-05-11,9.65
2016-05-12,9.31
2016-05-13,9.73
2016-05-15,10.00
2016-05-16,9.75
2016-05-17,9.10
2016-05-18,9.40
2016-05-19,9.03
2016-05-20,8.86
2016-05-21,9.05
2016-05-22,8.98
2016-05-23,8.65
2016-05-24,8.66
2016-05-25,8.52
2016-05-26,8.53
2016-05-27,8.33
2016-05-28,8.61
2016-05-29,8.61
